[0214/140707.802:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0214/212431.280:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0215/032520.058:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
[0225/213629.694:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152702.605:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152721.253:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152726.609:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152731.812:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152736.894:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152741.982:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152747.144:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152752.210:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152757.275:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152802.306:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152807.333:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152812.348:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152817.374:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152822.392:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152827.409:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152832.428:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152837.492:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152842.537:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152847.576:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152852.625:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152857.673:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152902.726:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152907.781:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152912.829:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152917.892:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152922.940:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152927.987:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152933.033:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152938.098:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152943.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152948.216:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152953.263:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/152958.332:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153003.397:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153008.427:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153013.460:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153018.514:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153023.556:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153028.596:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153033.656:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153038.713:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153043.754:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153048.796:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153053.835:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153058.873:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153103.921:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153108.995:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153114.045:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153119.090:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153124.145:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153129.212:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0226/153134.260:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
